Survived,Pclass,Sex,SibSp,Parch,Embarked,EditedAge
1,1,female,0,0,C,35
1,1,male,0,1,C,36
1,1,male,0,0,C,35
0,1,male,3,2,S,19
1,1,female,3,2,S,23
1,1,female,3,2,S,24
0,1,male,1,4,S,64
1,1,female,2,2,C,18
1,1,female,2,2,C,21
0,1,male,0,1,C,24
1,1,female,0,1,C,50
1,1,female,0,0,C,42
0,1,male,0,0,C,32.36809045
1,1,female,1,0,C,18
1,1,female,0,0,C,38
0,1,male,0,0,S,32.36809045
0,1,male,0,2,C,27
1,1,female,0,1,S,15
1,1,female,0,0,S,29
1,1,female,0,1,S,43
1,1,female,0,2,S,31
1,1,female,1,1,S,45
1,1,female,0,1,S,58
0,1,male,0,1,S,38
1,1,female,0,0,S,40
0,1,female,1,2,S,2
1,1,male,1,2,S,0.92
0,1,female,1,2,S,25
1,1,female,0,0,S,22
1,1,female,1,0,C,35.44036697
1,1,female,0,0,C,58
1,1,female,0,0,S,35
1,1,female,0,0,C,36
0,1,male,0,0,C,22
1,1,female,1,1,C,40
1,1,female,0,0,C,41
1,1,female,1,0,S,35.44036697
1,1,male,2,0,S,50
1,1,male,1,2,S,36
1,1,female,1,2,S,14
1,1,female,1,2,S,36
1,1,male,1,2,S,11
1,1,female,1,0,C,31
1,1,female,1,0,C,23
0,1,male,0,2,C,58
1,1,female,0,0,C,21.66206897
1,1,male,0,2,C,17
1,1,female,1,1,C,39
0,1,male,1,1,C,49
1,1,female,1,0,C,17
0,1,male,1,0,C,18
1,1,female,0,0,C,30
0,1,male,1,0,C,50
1,1,female,0,0,S,30
1,1,female,1,1,S,52
1,1,female,1,0,C,19
1,1,male,1,0,C,25
1,1,male,1,0,S,38
0,1,male,2,0,Q,44
1,1,female,1,0,Q,33
1,1,female,1,0,S,35
1,1,male,1,0,C,49
1,1,female,1,0,C,35.44036697
1,1,female,0,0,S,30
1,1,female,0,0,S,16
1,1,female,0,0,S,33
0,1,male,1,0,S,45
1,1,female,1,0,S,35
1,1,female,0,0,C,24
1,1,female,1,1,C,39
1,1,female,0,1,C,56
0,1,male,1,0,C,28
1,1,female,1,0,C,35.44036697
1,1,male,0,2,S,4
0,1,male,1,1,S,52
1,1,female,1,1,S,39
1,1,female,0,2,S,18
0,1,male,0,0,C,24
1,1,female,0,0,C,35.44036697
1,1,male,1,1,C,60
0,1,male,0,0,C,46
1,1,female,0,0,S,26
0,1,male,1,0,S,36
1,1,female,1,0,C,54
1,1,female,1,0,C,52
1,1,female,1,0,S,63
1,1,female,0,0,S,21
1,1,female,1,0,S,51
0,1,male,0,1,S,21
0,1,male,0,1,S,54
1,1,female,1,0,C,49
1,1,male,1,0,C,48
1,1,male,0,0,C,27
1,1,female,0,0,C,32
1,1,female,1,0,C,60
0,2,male,0,0,S,21
0,2,male,2,0,S,21
0,2,male,0,0,S,18
0,2,male,2,0,S,24
0,2,male,2,0,S,32
1,1,female,1,0,C,38
1,1,female,0,2,S,36
0,1,male,1,1,S,70
0,3,male,8,2,S,4.574166667
0,3,female,8,2,S,21.66206897
0,3,male,8,2,S,32.36809045
0,3,male,8,2,S,32.36809045
0,3,female,8,2,S,21.66206897
0,3,male,8,2,S,32.36809045
0,3,female,8,2,S,21.66206897
1,1,female,0,0,C,24
1,1,female,0,0,C,24
1,1,female,1,0,S,22
0,1,male,1,0,S,29
1,2,female,1,2,S,24
1,2,female,1,2,S,48
1,1,male,0,1,C,23
0,1,male,0,1,C,65
0,1,male,0,1,C,51
0,1,male,1,0,S,46
1,1,female,1,0,C,54
1,1,female,0,1,C,16
1,1,female,0,1,C,44
1,1,male,1,0,S,31
1,1,female,1,0,S,17
1,1,female,0,0,C,30
1,1,male,1,0,C,49
1,3,male,0,0,S,32
0,3,male,0,0,S,28
1,3,male,0,0,S,26
1,3,male,0,0,S,32.36809045
1,3,male,0,0,S,32.36809045
0,3,male,0,0,S,32.36809045
1,3,male,0,0,S,32
0,1,male,1,0,S,50
1,1,female,1,0,S,39
1,1,male,1,0,C,25
1,1,female,0,1,S,35.44036697
1,1,female,0,1,S,22
1,1,female,1,0,S,35
0,1,male,1,0,S,37
1,1,male,1,0,S,27
0,1,male,1,0,S,19
1,1,female,1,0,S,33
1,1,male,1,1,S,37
1,1,male,1,0,S,42
1,1,female,1,1,S,47
0,1,male,1,0,S,42
0,1,male,0,0,S,47
1,1,female,1,0,S,35
0,1,male,0,0,S,32.36809045
1,1,female,1,0,S,35.44036697
0,1,male,1,0,S,31
1,1,male,1,0,S,48
0,1,male,0,0,S,54
1,1,female,1,0,S,35.44036697
1,1,female,2,0,S,53
0,1,male,0,0,S,31
0,1,male,0,0,S,32.36809045
0,1,male,0,0,C,71
1,1,female,0,0,C,24
1,1,female,0,2,C,22
0,1,male,0,0,S,28
0,3,male,5,2,S,11
0,3,female,5,2,S,16
0,3,male,5,2,S,1
0,3,male,5,2,S,9
0,3,female,1,6,S,43
0,3,male,5,2,S,14
0,1,male,0,0,S,32.36809045
1,2,female,1,2,C,3
1,2,female,1,2,C,22
0,2,male,1,2,C,25
0,1,male,0,0,C,36
0,3,male,4,1,S,7
0,3,male,4,1,S,1
0,3,male,4,1,S,16
0,3,female,0,5,S,41
0,3,male,4,1,S,14
0,3,male,4,1,S,2
1,1,female,1,0,C,48
0,1,male,0,0,C,42
1,1,female,0,1,S,16
1,2,male,2,1,S,1
1,2,female,2,1,S,4
1,2,female,1,1,S,40
0,2,male,1,1,S,60
0,1,male,0,0,S,47
0,2,male,1,1,C,31
1,2,male,0,2,C,1
0,2,male,1,1,S,19
1,2,male,1,1,S,8
1,1,male,0,0,S,28
1,1,male,0,0,S,32.36809045
0,1,male,0,0,S,45
1,1,male,0,0,C,56
0,1,male,0,0,S,32.36809045
0,1,male,0,0,C,71
0,3,male,1,3,S,16
0,3,female,2,2,S,9
0,3,female,2,2,S,21
0,3,female,1,3,S,48
0,1,male,0,0,S,47
0,1,male,0,0,S,61
1,2,female,0,0,S,21.66206897
1,2,female,0,1,S,6
0,2,male,0,1,S,28
1,2,female,1,1,S,34
0,1,male,0,0,S,61
1,3,female,1,5,S,38
0,3,male,4,2,S,9
1,3,female,4,2,S,5
1,3,male,4,2,S,3
0,3,male,1,5,S,39
0,3,female,4,2,S,2
0,3,female,4,2,S,9
0,3,female,4,2,S,11
0,3,female,1,5,S,39
0,3,female,4,2,S,6
0,3,male,4,2,S,4
1,1,male,0,0,C,40
0,1,male,0,0,S,32.36809045
1,1,female,0,0,C,30
0,1,male,0,0,C,56
0,1,male,0,0,C,32.36809045
1,1,male,0,0,S,32.36809045
1,1,male,0,0,S,52
0,1,male,0,0,S,55
1,1,male,0,0,S,27
1,1,male,0,0,C,32
1,2,female,1,0,C,14
0,2,male,1,0,C,32.5
1,2,female,1,1,S,25
1,1,male,0,0,S,80
1,1,male,0,0,S,32.36809045
0,1,male,0,0,S,29
1,1,female,0,0,S,19
1,1,male,0,0,C,26
0,1,male,0,1,C,37
0,1,male,0,0,C,58
1,1,male,0,0,C,32.36809045
0,3,male,4,1,Q,2
0,3,male,4,1,Q,4
0,3,male,4,1,Q,7
0,3,male,4,1,Q,8
0,3,female,0,5,Q,39
1,2,male,0,2,S,0.83
1,2,female,1,1,S,22
0,1,female,0,0,C,50
0,1,male,0,0,S,45.5
0,3,male,3,2,S,4
0,3,female,1,4,S,45
0,3,male,1,4,S,40
0,3,female,3,2,S,9
0,3,female,3,2,S,2
0,3,male,3,2,S,10
1,2,female,1,2,S,5
0,2,male,1,2,S,36
0,1,male,0,0,C,30
1,2,female,1,2,S,33
0,1,male,0,0,C,40
0,1,male,0,0,C,32.36809045
1,1,female,0,0,C,44
0,1,male,0,0,C,32.36809045
0,2,male,1,0,C,29
0,2,male,1,0,S,42
1,2,female,2,1,S,24
1,1,female,0,0,S,58
1,1,male,0,0,S,45
0,1,male,0,0,S,62
1,1,male,0,0,S,28
1,1,male,0,0,S,34
0,1,male,0,0,S,65
1,1,male,0,0,S,48
0,1,male,0,0,S,56
1,1,male,0,0,S,32.36809045
0,1,male,0,0,S,45
0,1,male,0,0,S,62
1,1,male,0,0,C,35
0,1,male,0,0,S,60
0,1,male,0,0,S,32.36809045
1,1,male,0,0,S,51
1,1,male,0,0,S,36
1,1,male,0,0,S,36
1,1,male,0,0,S,35
1,1,male,0,0,S,42
1,1,female,0,2,S,19
1,2,female,0,2,S,8
0,2,male,1,1,S,43
1,2,female,1,1,S,45
1,2,female,0,2,S,7
0,2,male,1,1,S,31
1,2,female,1,1,S,31
0,2,male,0,0,S,35
1,2,female,1,0,S,29
0,2,male,1,0,S,34
1,2,female,1,0,S,29
0,2,male,0,2,S,36.5
1,2,male,1,1,S,3
0,2,male,1,0,S,44
0,2,male,1,0,S,54
1,2,female,0,1,S,50
0,1,male,0,0,S,32.36809045
0,2,female,1,1,S,26
1,2,female,1,0,S,24
1,2,male,1,1,S,2
0,2,male,0,0,S,46
1,2,female,1,0,S,28
1,2,female,0,0,S,19
1,2,female,1,0,S,42
1,2,female,0,2,S,33
1,2,female,1,0,S,36
1,2,female,1,1,S,2
1,2,male,1,0,S,32
0,1,male,0,0,S,64
1,2,female,1,0,S,19
0,2,male,0,0,S,27
0,2,male,0,0,S,54
0,2,male,1,0,S,37
0,2,male,0,0,S,39
0,2,male,1,0,S,25
0,2,male,0,0,S,16
0,2,female,1,0,S,44
1,2,female,0,1,S,25
1,1,female,0,0,S,49
1,1,female,0,0,S,48
0,1,male,0,0,S,32.36809045
0,1,male,0,0,S,47
0,3,male,3,1,S,4.574166667
0,3,female,3,1,S,21.66206897
0,3,female,3,1,S,21.66206897
0,3,female,3,1,S,21.66206897
1,3,female,1,0,Q,21.66206897
0,3,female,0,2,S,10
0,3,male,0,0,Q,32.36809045
0,3,male,2,0,S,24
0,3,male,1,1,S,36
0,3,male,1,0,Q,32.36809045
0,3,female,1,1,S,30
0,3,male,0,0,S,39
0,2,male,1,0,C,30
1,2,female,1,0,C,28
0,3,male,1,2,S,32.36809045
0,3,female,1,2,S,21.66206897
1,3,male,2,0,Q,32.36809045
1,3,female,2,0,Q,21.66206897
1,2,female,0,1,S,34
1,2,female,0,1,S,18
1,2,female,1,1,S,4
1,2,female,1,3,S,54
0,3,male,0,0,S,28
1,3,female,1,1,C,21.66206897
1,3,female,0,2,C,35.44036697
1,3,female,0,2,S,4
0,3,male,2,0,C,32.36809045
0,3,male,3,1,S,2
0,3,female,3,1,S,8
0,3,female,3,1,S,3
0,3,female,0,4,S,29
0,2,female,1,0,S,27
0,2,male,1,0,S,29
1,2,female,0,0,S,35
0,2,male,1,0,S,34
0,2,male,1,0,S,34
1,2,female,3,0,S,30
0,3,male,1,2,S,26
1,3,male,1,2,S,1
1,3,male,0,2,S,9
1,3,female,1,1,S,31
0,3,male,1,1,S,33
1,3,female,1,1,S,35
0,3,male,1,1,S,16
0,3,female,0,2,S,41
0,3,male,1,1,S,18
0,3,male,1,0,S,32.36809045
0,3,male,1,0,S,32.36809045
1,2,female,0,1,S,41
1,2,female,0,1,S,13
1,3,female,2,1,C,5
1,3,female,2,1,C,0.75
1,3,female,2,1,C,0.75
1,3,female,0,3,C,24
1,3,male,0,0,C,26
0,3,male,0,0,C,11
1,2,male,1,1,S,3
1,2,female,2,3,S,24
1,2,male,1,1,S,0.83
0,3,female,1,0,S,31
0,3,female,2,0,S,18
0,3,male,2,0,S,16
0,3,female,1,0,S,18
0,3,male,1,0,S,25
1,3,female,1,0,S,36
1,3,female,1,1,S,4
1,3,female,0,2,S,24
0,3,male,0,1,S,44
0,3,male,1,0,S,30
1,3,female,1,0,S,35.44036697
1,3,female,1,0,S,35.44036697
0,3,female,1,0,S,26
0,3,male,0,0,S,21
0,3,male,1,0,S,32.36809045
0,3,male,0,0,S,28.5
0,3,male,1,0,S,24
1,2,female,0,0,S,55
1,3,male,1,1,S,3
1,3,male,1,1,S,9
1,3,female,3,0,S,33
1,3,female,1,0,S,24
0,3,male,1,0,S,32
0,3,male,1,0,S,28
1,2,female,0,0,S,40
1,3,female,0,2,C,1
1,3,male,1,1,C,20
0,3,male,1,0,S,36
0,3,male,1,0,Q,32.36809045
1,3,female,1,0,Q,35.44036697
0,3,male,1,1,Q,40
1,3,female,1,0,Q,21.66206897
0,3,male,1,0,Q,32.36809045
1,3,female,1,0,Q,21.66206897
0,3,female,1,1,Q,32
0,3,male,0,0,Q,32.36809045
1,3,male,1,1,C,4.574166667
0,3,female,0,2,C,35.44036697
1,3,female,0,2,C,29
1,3,male,1,1,C,4.574166667
0,3,female,1,1,C,9
0,3,male,0,0,S,32.36809045
0,2,male,0,0,C,32.36809045
0,2,male,0,0,C,23
0,2,male,0,0,S,47
0,3,female,1,0,S,47
0,3,male,0,2,S,40.5
1,2,female,0,2,S,24
0,3,male,0,0,S,32.36809045
0,3,male,0,0,S,19
1,2,male,1,1,S,0.67
0,3,male,0,0,S,32.36809045
0,3,female,0,0,C,17
0,3,male,0,0,C,32.36809045
0,3,female,1,0,C,35.44036697
0,3,male,1,0,C,26
0,3,female,1,0,C,14.5
0,3,female,1,0,C,21.66206897
0,3,female,0,1,C,45
0,3,male,1,0,C,27
0,3,female,0,1,C,18
1,3,female,1,0,C,15
0,3,female,1,1,S,28
0,3,male,1,1,S,34
0,3,male,2,0,S,41
0,2,male,0,0,S,54
1,2,male,0,0,C,32.36809045
1,2,female,1,0,C,27
1,2,female,0,0,C,23
0,2,male,0,0,S,59
0,2,male,0,0,S,28
0,2,male,0,0,S,52
1,2,female,0,0,S,45
1,3,female,0,1,C,4
1,2,male,0,0,S,32.36809045
1,2,male,0,0,S,34
1,2,female,0,0,S,32.5
0,2,male,0,0,S,25
0,2,male,0,0,S,42
0,2,male,0,0,S,30
1,2,female,0,0,S,32
0,2,male,0,0,S,19
0,2,female,0,0,S,24
0,2,male,0,0,S,30
0,2,male,0,0,S,27
0,2,male,0,0,S,18
1,2,male,0,0,S,42
1,2,female,0,0,S,36
0,2,male,0,0,S,28
0,2,male,0,0,S,25
0,2,male,0,0,S,36
1,2,female,0,0,S,24
1,2,female,0,0,S,40
0,2,female,0,0,S,38
1,2,female,0,0,S,36
1,2,female,0,2,S,18
0,2,male,0,0,S,30
1,2,female,0,0,S,28
0,2,male,0,0,S,48
1,2,female,0,0,S,34
1,2,female,0,0,S,28
0,2,male,0,0,S,23
0,2,male,0,0,S,25
1,2,male,0,0,S,31
0,2,male,0,0,S,52
0,2,male,0,0,S,34
0,2,male,0,0,S,50
0,2,male,0,0,S,23
0,2,male,0,0,S,23
1,2,female,0,0,S,30
0,2,male,0,0,S,39
0,2,male,0,0,S,34
0,2,male,0,0,S,39
0,2,male,0,0,S,24
1,2,female,0,0,S,42
0,2,male,0,0,S,27
0,2,male,0,0,C,36
1,2,female,0,0,S,28
0,2,male,0,0,S,51
1,3,female,0,0,S,30
1,3,male,0,1,S,6
1,3,female,0,0,S,5
1,3,female,0,1,S,27
1,2,female,0,0,Q,21.66206897
1,2,female,0,0,Q,30
0,2,male,0,0,Q,57
1,3,female,0,1,S,2
0,2,male,0,0,S,33
1,2,female,0,0,C,17
0,2,male,0,0,S,18
0,2,male,2,1,S,23
0,2,male,0,0,S,18
0,2,male,1,0,S,21
1,3,female,1,0,C,14
1,3,male,1,0,C,12
1,3,female,0,2,S,27
1,3,female,1,1,S,1
1,3,male,1,1,S,4
0,3,female,0,0,S,22
0,2,male,0,0,S,66
1,2,female,0,0,S,21
1,2,female,0,0,S,29
0,2,male,0,0,S,32
1,2,female,0,0,S,17
0,2,male,0,0,S,30
1,2,male,0,0,S,19
0,2,male,0,0,S,24
0,2,male,0,0,S,19
0,2,male,0,0,S,29
0,2,male,0,0,S,36
0,2,male,0,0,S,23
0,2,male,0,0,S,31
1,2,female,0,0,S,50
1,2,female,0,0,S,34
1,2,female,0,0,S,50
1,2,male,0,0,S,62
0,2,male,0,0,S,26
0,2,male,0,0,S,70
1,2,female,0,0,S,27
0,2,female,0,0,S,57
0,2,male,0,0,S,35
0,2,male,0,0,S,16
0,2,male,0,0,S,28
0,3,female,0,1,S,2
0,3,female,1,1,S,29
0,3,male,0,0,S,19
0,3,male,0,0,S,20
1,3,female,0,0,S,18
0,3,female,0,0,S,22
0,3,female,1,0,S,20
0,3,female,1,0,S,21
1,3,female,0,0,S,63
0,3,female,0,0,S,37
1,3,male,0,0,S,29
0,3,male,0,0,S,28
0,3,male,0,0,S,16
1,3,male,0,0,S,30
0,3,male,0,0,S,28
0,3,male,0,0,S,20
0,3,male,0,0,S,33
0,3,male,0,0,S,24
0,3,male,0,0,S,32.36809045
0,3,male,0,0,S,29
0,3,female,1,0,S,40
0,3,male,0,0,S,22
1,3,female,0,1,S,18
0,3,male,0,0,S,23
0,3,male,0,0,S,20
0,3,male,0,0,S,16
0,3,male,0,0,S,22
0,3,male,0,0,S,47
0,3,female,0,0,S,24
0,3,male,0,0,C,32.36809045
1,3,female,0,0,S,31
0,3,male,2,0,S,26
0,3,male,0,0,S,32.36809045
0,3,male,0,0,S,17
0,3,male,0,0,C,33
0,3,male,0,0,S,42
0,3,female,0,0,S,20
0,3,male,0,0,S,38
0,3,male,0,0,S,17
0,3,female,0,0,S,30
0,3,male,0,0,S,20
1,3,male,0,0,S,27
0,3,male,0,0,S,21
0,3,male,0,0,S,17
0,3,male,0,0,S,33
1,3,male,0,1,C,0.42
0,3,male,0,0,Q,32.36809045
0,3,male,0,0,S,21
0,3,male,0,1,S,42
0,3,male,0,0,S,32
0,3,male,0,0,S,18
0,3,male,0,0,S,19
0,3,female,0,0,Q,21.66206897
1,3,male,0,0,S,32.36809045
0,3,male,0,0,S,35
0,3,male,0,0,S,20
0,3,male,0,0,S,21
0,3,male,0,0,S,32.36809045
0,3,male,0,0,S,32.36809045
0,3,male,0,0,S,32.36809045
0,3,male,0,0,S,24
0,3,male,0,0,S,29
0,3,male,0,0,S,32.36809045
0,3,male,0,0,S,22
0,3,male,0,0,S,32.36809045
0,3,male,0,0,S,55.5
0,3,male,0,0,S,30
1,3,male,0,0,S,18
1,3,male,0,0,S,16
0,3,male,0,0,S,51
1,3,male,0,0,S,19
0,3,male,0,0,S,32.36809045
1,3,male,0,0,S,45
0,3,male,0,0,S,19
0,3,male,0,0,S,26
0,3,female,0,0,S,35.44036697
1,3,male,0,0,S,32
0,3,male,0,0,S,32.36809045
0,3,male,0,0,S,34
0,3,male,0,0,S,32.36809045
0,3,male,0,0,S,50
0,3,male,0,0,S,30
0,3,male,0,0,S,21
0,3,male,0,0,S,32.36809045
0,3,male,0,0,S,32.36809045
0,3,female,0,0,S,21.66206897
0,3,male,0,0,S,16
0,3,male,0,0,S,22
0,3,male,0,0,S,32.36809045
0,3,male,0,0,S,44
0,3,male,0,0,S,35
0,3,male,0,0,S,43
0,3,male,0,0,S,24.5
0,3,male,0,0,S,44
0,3,male,0,0,S,34
0,3,male,0,0,S,30.5
0,3,male,0,0,S,32.36809045
1,3,female,0,0,Q,15
1,3,female,0,0,S,26
1,3,female,4,2,S,17
0,3,male,2,0,S,37
0,3,male,0,0,S,21
0,3,male,0,0,S,21
1,3,female,0,0,S,27
0,3,male,0,0,S,32
0,3,male,2,0,S,28
1,3,male,0,0,S,39
1,3,male,0,0,S,44
0,3,male,0,0,S,39
1,3,male,0,0,S,32
0,3,male,0,0,S,32
1,3,male,1,0,S,20
0,3,female,1,0,S,25
1,3,male,0,0,S,31
0,3,female,0,0,S,23
0,3,male,0,0,S,20
0,3,male,0,0,S,32.36809045
0,3,male,0,0,C,32.36809045
0,3,male,0,0,S,32.36809045
0,3,female,0,0,S,28
0,3,male,0,0,S,32.36809045
0,3,male,0,0,S,28
0,3,male,0,0,S,38
0,3,male,0,0,C,33
0,3,male,0,0,S,36
0,3,male,0,0,S,32.36809045
0,3,male,0,0,S,22
0,3,male,0,0,S,24
0,3,male,0,0,S,28
0,3,male,0,0,S,27
0,3,male,0,0,S,32.36809045
0,3,male,0,0,S,32.36809045
0,3,male,0,0,S,32.36809045
0,3,male,0,0,C,32.36809045
1,3,male,0,0,C,29
0,3,male,0,0,S,32
0,3,male,0,0,S,22
0,3,male,0,0,S,40
0,3,male,0,0,S,19
0,3,male,0,0,S,32.36809045
0,3,male,0,0,S,30
0,3,male,0,0,S,26
0,3,male,0,0,S,19
0,3,male,0,0,S,32.36809045
0,3,male,0,0,S,32.36809045
0,3,male,0,0,S,32.36809045
0,3,male,0,0,S,32.36809045
0,3,male,0,0,S,23
0,3,male,0,0,S,25
0,3,male,0,0,C,35
0,3,male,0,0,S,26
0,3,male,0,0,S,19
0,3,male,0,0,S,32.36809045
0,3,male,0,0,S,33
0,3,male,0,0,S,26
1,3,female,0,0,Q,21.66206897
1,3,female,0,0,Q,19
1,3,female,0,0,Q,21.66206897
1,3,female,0,0,Q,21.66206897
0,3,male,0,0,S,29
0,3,female,0,0,S,14
0,3,male,0,0,S,20
0,3,male,1,1,S,18
1,3,female,1,0,S,19
0,3,male,0,0,S,28
1,3,female,0,0,S,26
0,3,female,0,0,S,31
1,3,male,0,0,S,32
0,3,male,0,0,S,21
0,3,male,0,0,S,20
0,3,male,1,0,S,26
0,3,male,0,0,S,48
0,3,male,0,0,S,23
0,3,male,0,0,Q,32.36809045
1,3,female,0,0,Q,21.66206897
0,3,male,0,0,S,21
1,3,male,0,0,S,27
1,3,male,0,0,S,21
0,3,male,0,0,S,22
0,3,male,0,0,S,24
0,3,male,0,0,S,18
0,3,male,0,0,S,28
1,3,female,0,0,Q,21.66206897
1,3,male,0,0,S,32.36809045
0,3,male,0,0,S,26
0,3,male,0,0,S,29
0,3,female,0,0,S,25
1,3,male,1,0,S,25
0,3,male,0,0,S,19
0,3,male,0,0,S,21
0,3,male,1,0,S,25
1,3,female,0,0,S,22
0,3,male,0,0,S,32.36809045
0,3,male,0,0,S,18
0,3,male,0,0,S,33
0,3,male,0,0,S,16
0,3,male,0,0,S,31
0,3,female,0,0,S,18
0,3,male,0,0,S,74
1,3,female,0,0,Q,21.66206897
1,3,female,0,0,Q,21.66206897
0,3,male,0,0,Q,70.5
0,3,male,0,0,Q,32.36809045
1,3,female,0,0,S,22
0,3,male,0,0,Q,32.36809045
1,3,female,0,0,Q,21.66206897
1,3,female,0,0,Q,16
0,3,male,1,0,Q,32.36809045
0,3,male,0,0,Q,32.36809045
0,3,female,0,0,Q,21.66206897
1,3,female,0,0,Q,21.66206897
0,3,female,0,0,S,45
0,3,male,0,0,Q,65
1,3,female,0,0,Q,22
1,3,female,0,0,Q,21.66206897
1,3,female,0,0,Q,21.66206897
0,3,male,0,0,S,51
0,3,male,0,0,Q,32.36809045
0,3,male,0,0,Q,32.36809045
0,3,female,0,0,Q,21
1,3,male,0,0,Q,29
0,3,male,0,0,Q,40.5
0,3,male,0,0,Q,32.36809045
1,3,female,0,0,Q,21.66206897
0,3,female,0,2,Q,21.66206897
0,3,male,0,0,Q,32.36809045
0,3,male,0,0,Q,31
0,3,female,0,0,Q,30.5
0,3,male,0,0,S,18
0,3,male,0,0,Q,32.36809045
0,3,male,0,0,Q,32.36809045
1,3,male,0,0,Q,32.36809045
0,3,male,0,0,Q,32
0,3,male,0,0,Q,25
1,3,female,0,0,Q,21.66206897
0,3,male,0,0,Q,32.36809045
1,3,female,0,0,Q,16
0,3,male,0,0,Q,21
0,3,male,0,0,Q,32.36809045
1,3,female,0,0,Q,21.66206897
0,3,male,0,0,Q,32.36809045
0,3,male,0,0,Q,32.36809045
0,3,male,0,0,S,25
1,3,female,0,0,S,21
0,3,male,0,0,S,42
0,3,male,0,0,S,19
0,3,female,0,0,Q,21.66206897
0,3,female,0,0,S,21.66206897
0,3,male,0,0,S,32.36809045
1,3,female,0,0,S,23
0,3,male,0,0,S,42
0,3,male,0,0,S,22
0,3,male,0,0,S,24
0,3,male,0,0,S,36
1,3,female,0,0,S,18
0,3,male,0,0,S,32.36809045
0,3,male,1,0,S,22
0,3,male,0,0,S,59
0,3,male,0,0,S,22
0,3,male,0,0,S,20.5
0,3,male,0,0,S,32.36809045
0,3,male,0,0,S,22
0,3,male,0,0,S,30
1,3,female,0,0,S,22
0,3,male,0,0,S,32.36809045
0,3,male,0,0,S,32.36809045
0,3,male,0,0,S,21
0,3,male,0,0,S,47
0,3,male,0,0,S,25
1,3,male,0,0,C,32.36809045
0,3,male,0,0,C,28.5
0,3,male,0,0,C,22
0,3,male,0,0,C,23.5
0,3,male,1,1,C,15
1,3,female,0,0,C,35.44036697
0,3,male,0,0,C,32.36809045
0,3,male,0,0,C,32.36809045
0,3,male,1,1,C,17
0,3,male,0,0,C,32.36809045
1,3,male,0,0,C,20
1,3,female,0,0,C,13
0,3,male,0,0,C,30
0,3,male,0,0,C,32.36809045
0,3,male,0,0,C,32.36809045
1,3,female,0,0,C,35.44036697
0,3,male,0,0,C,32.36809045
0,3,male,0,0,C,45.5
0,3,male,0,0,C,30
0,3,male,0,0,C,32.36809045
0,3,male,0,0,C,32.36809045
1,3,male,0,0,C,22
0,3,male,0,0,C,32.36809045
0,3,male,0,0,C,40
0,3,male,0,0,C,25
0,3,male,0,0,C,32.36809045
1,3,female,0,0,C,15
1,3,male,0,0,S,24
0,3,male,0,0,S,22
0,3,male,0,0,S,17
0,3,male,0,0,S,35
0,3,male,0,0,S,41
0,3,male,0,0,S,51
0,3,male,1,0,S,17
0,3,male,0,0,S,20
0,3,male,0,0,S,24
0,3,male,0,0,S,35
0,3,male,0,0,S,38
0,3,male,0,0,S,32.36809045
0,3,male,0,0,S,25
0,3,male,0,0,S,25
0,3,male,1,0,S,29
0,3,male,0,0,S,45
1,3,male,0,0,S,27
0,3,male,0,0,Q,32.36809045
0,3,male,0,0,Q,32.36809045
0,3,male,0,0,Q,19
0,3,female,0,0,Q,18
0,3,male,0,0,S,34
0,3,male,1,0,S,18
0,3,male,0,0,S,43
0,3,male,0,0,C,34.5
0,3,male,0,0,S,61
0,1,male,0,0,S,33
0,3,male,0,0,C,20
0,3,male,0,0,S,36
0,1,male,0,0,S,40
1,3,male,0,0,S,25
0,2,male,0,0,S,32.36809045
0,3,male,0,0,S,19
0,2,male,0,0,S,32.36809045
0,2,male,0,0,S,32.36809045
0,2,male,0,0,S,32.36809045
0,3,male,0,0,S,49
0,1,male,0,0,S,32.36809045
0,2,male,0,0,S,32.36809045
0,2,male,0,0,S,32.36809045
0,1,male,0,0,S,39
0,1,male,0,0,S,32.36809045
0,1,male,0,0,S,38
